event_id,post_id,stance_agree,stance_disagree,stance_query,stance_comment
,1.0,159,507,75,963
,2.0,0,0,1,3
,3.0,0,3,0,3
,4.0,0,2,0,1
,5.0,5,0,4,675
,6.0,15,0,0,6
,7.0,7,0,0,1
,8.0,81,1,8,227
,9.0,4,0,0,7
,10.0,6,0,1,6
,11.0,35,0,0,0
,12.0,2,0,0,368
,13.0,98,1,6,24
,14.0,66,1,2,23
,15.0,1639,0,0,3
,16.0,46,0,3,33
,17.0,15,0,2,23
,18.0,59,0,16,247
,19.0,15,0,0,0
,20.0,13,0,0,2
,21.0,61,0,0,1
,22.0,40,0,5,138
,23.0,15,0,3,70
,24.0,5,25,2,8
,25.0,0,0,0,1
,26.0,2,0,3,7
,27.0,7,0,0,1
,28.0,46,0,1,3
,29.0,8,0,0,0
,30.0,161,0,2,8
,31.0,33,0,2,4
,32.0,19,0,0,4
,33.0,5,0,1,2
,34.0,5,0,0,4
,35.0,73,0,3,2
,36.0,32,0,0,0
,37.0,41,0,1,25
,38.0,0,0,1,8
,39.0,1,0,2,51
,40.0,2,0,15,84
,41.0,3,5,7,9
,42.0,2,3,2,6
,43.0,72,0,14,106
,44.0,103,0,15,46
,45.0,88,2,9,57
,47.0,41,0,1,12
,49.0,123,0,8,20
,50.0,1,0,0,4
,51.0,0,0,1,5
,52.0,22,6,1,155
,53.0,81,0,4,72
,54.0,1,0,0,6
,55.0,10,0,1,2
,56.0,171,16,0,6
,57.0,47,1,18,89
,58.0,206,6,19,31
,59.0,30,0,14,73
,60.0,228,0,224,749
,61.0,3,0,0,1
,62.0,9,0,2,10
,65.0,170,0,0,15
,66.0,1,0,0,1
,67.0,400,1,0,72
,68.0,14,0,3,217
,69.0,0,0,0,1
,70.0,22,3,2,1
,71.0,186,2,1,1
,73.0,17,0,0,0
,74.0,38,0,1,0
,75.0,4,1,1,1
,76.0,29,4,12,35
,78.0,28,0,3,1
,79.0,93,0,6,0
,80.0,0,0,3,26
,81.0,6,0,2,34
,82.0,5,0,0,1
,83.0,7,0,1,29
,84.0,0,0,0,3
,85.0,29,0,0,0
,86.0,8,0,0,8
,87.0,10,0,0,0
,88.0,6,0,1,6
,89.0,17,0,3,29
,90.0,117,0,6,7
,91.0,129,1,4,7
,92.0,72,1,12,20
,93.0,76,3,24,67
,94.0,1,0,4,13
,95.0,0,0,3,96
,96.0,0,0,0,140
,97.0,0,0,0,38
,98.0,14,0,4,108
,99.0,11,5,5,29
,100.0,15,2,3,29
,101.0,0,0,0,1
,102.0,269,22,71,478
,103.0,2,0,2,6
,104.0,7,4,4,40
,105.0,2,2,0,14
,107.0,671,1,36,790
,108.0,3,0,0,2
,109.0,15,0,0,0
,110.0,8,0,0,1
,111.0,181,0,4,28
,112.0,7,0,0,10
,113.0,1,1,0,5
,114.0,0,0,1,1
,115.0,1,0,0,0
,116.0,15,2,2,50
,117.0,43,0,8,55
,118.0,28,1,2,11
,119.0,54,2,11,110
,120.0,4,2,3,4
,121.0,2,1,4,38
,122.0,1,2,0,8
,123.0,0,0,0,10
,124.0,44,8,15,82
,125.0,115,0,4,54
,126.0,2,3,0,1
,127.0,0,4,3,8
,128.0,2,0,4,3
,129.0,0,1,0,1
,130.0,616,0,86,213
,131.0,1,0,0,4
,132.0,5,0,0,25
,133.0,57,1,11,382
,134.0,5,6,18,188
,135.0,584,1,14,116
,136.0,85,2,7,26
,137.0,265,0,90,468
,138.0,57,0,10,325
,139.0,4,0,1,6
,140.0,4,0,0,25
,141.0,18,0,1,11
