post-id,followers,followings,"is user verified(0 verified, 1 unverified)",join_days_ago
1,18000,0,1,
2,24000,0,1,
3,4800,0,1,
4,1010,0,1,
5,3500000,0,1,
6,16000,0,1,
7,59000,0,1,
8,10000,0,1,
9,854,0,1,
10,1700000,0,1,
11,18000,0,1,
12,22000,0,1,
13,89000,0,1,
14,37000,0,0,
15,1800000,0,1,
16,371000,0,1,
17,489000,0,1,
18,1500000,0,0,
19,1900,0,1,
20,11000,0,1,
21,9100,0,1,
22,527000,0,1,
23,1800000,0,1,
24,74000,0,1,
25,1037,2659,1,
26,88,65300,1,
27,279000,463,1,
28,279000,463,1,
29,279000,463,1,
30,279000,463,1,
31,279000,463,1,
32,11000,868,0,
33,191000,653,1,
34,191000,653,1,
35,191000,653,1,
36,191000,653,1,
37,191000,653,1,
38,472000,12,1,
39,1300000,5,1,
40,472000,12,1,
41,544000,4914,0,0.0
42,32600,4613,0,0.0
43,213000,160,0,0.0
44,11700,982,0,0.0
45,6151000,1979,0,0.0
46,27500,346,1,0.0
47,10200000,1396,0,0.0
48,1879,268,1,0.0
49,6200000,137,0,0.0
50,3600000,24,0,0.0
51,72200,961,1,0.0
52,16000,30,1,0.0
53,2000000,131,0,0.0
54,3600000,24,0,0.0
55,319400,3127,0,0.0
56,16000,30,1,0.0
57,2500000,0,1,
58,526000,0,0,
59,2500000,0,1,
60,563000,0,0,
61,207000,0,1,
62,2500000,0,1,
63,21000,0,0,
64,12000,0,0,
65,102000,0,0,
66,11000,0,0,
67,377000,0,0,
68,204000,0,1,
69,13900,5933,0,
70,126000,0,0,
71,707000,3,0,
72,122000,61,0,
73,199000,632,1,
74,264000,43,0,
75,32200,30,1,
76,1700000,1246,1,
77,722000,30,1,
78,78800,3666,0,
79,3300000,18,1,
80,7383,487,0,0.0
81,5002,270,0,0.0
82,2112000,826,0,0.0
83,14300,951,0,0.0
84,81300,1372,1,0.0
85,3153,1001,0,0.0
86,1670,282,0,0.0
87,219000,240,0,0.0
88,92800,14,1,0.0
89,10200000,1393,1,0.0
90,2800000,2387,1,0.0
91,240000,20,1,0.0
92,5600000,444,1,0.0
93,28300,201,0,0.0
94,173000,1243,1,0.0
95,71100,7607,0,0.0
96,16000000,5579,1,0.0
97,317,431,0,0.0
98,1600000,5579,1,0.0
99,810000,0,0,
100,190000,0,0,
101,16500,1,0,
102,2100000,617,0,0.0
103,555000,5,1,
104,266000,0,0,
105,8900,0,1,
106,1700000,0,0,
107,5000,0,0,
108,30000,0,0,
109,266000,0,0,
110,68000,0,0,
111,93000,0,0,
112,5200,0,0,
113,6500,0,0,
114,6800,3548,0,
115,16500,1,0,
116,707000,3,0,
117,844000,0,0,
118,605,528,0,0.0
119,50,450000,1,0.0
120,45,1342,0,0.0
121,2588,270900,0,0.0
122,355,1018,1,0.0
123,1656,2371,0,0.0
124,259,109100,1,0.0
125,348,122400,0,0.0
126,2802,2096,1,0.0
127,7291,173400,1,0.0
128,991,6212,0,0.0
129,377,210,0,0.0
130,746,0,0,
131,20,0,0,
132,330000,0,1,
133,777000,0,0,
134,27000,0,0,
135,212000,0,0,
136,12000,0,0,
137,180000,0,1,
138,777000,0,0,
139,865000,0,1,
140,330000,0,1,
141,757,11,0,
142,2179,61,0,
143,1679,1070,0,
144,246000,62,1,
145,16290,0,0,
146,51000,228,1,0.0
147,498600,194,1,0.0
148,49300,7183,1,0.0
149,436100,439,1,0.0
150,63800,65,1,0.0
151,436100,439,1,0.0
152,498600,194,1,0.0
153,378300,3,1,0.0
154,3200000,677,0,0.0
155,86000,0,0,
156,1400000,0,1,
157,241000,0,0,
158,140000,0,1,
159,413000,0,0,
160,320000,0,0,
161,1100000,2055,0,
162,21600,38,0,
163,296000,150,0,
164,296000,150,0,
165,9163,62,0,
166,122000,61,0,
167,231000,207,0,
168,472000,12,0,
169,4526,2775,0,0.0
170,31700,268,0,0.0
171,31700,268,0,0.0
172,193000,741,0,0.0
173,52600,211,1,0.0
174,2500000,0,0,
175,6800,0,0,
176,770000,0,0,
177,770000,0,0,
178,147000,38,0,
179,2800000,59,1,
180,364000,1,0,
181,177700,60500,0,0.0
182,340000,844,0,0.0
183,3300000,1052,1,0.0
184,14000000,0,1,
185,32000000,0,0,
186,230000,0,0,
187,110000,0,0,
188,413000,0,0,
189,4400000,0,1,
190,11,0,0,
191,35000000,0,0,
192,61000,0,0,
193,388000,0,0,
194,3400,0,0,
195,4400000,0,1,
196,4400000,0,1,
197,347000,0,0,
198,4400000,0,1,
199,10000,0,0,
200,26000,0,0,
201,305000,0,0,
202,43000,0,0,
203,101000,0,0,
204,27000,0,0,
205,14000000,0,1,
206,365000,0,0,
207,3447,0,0,
208,12000,0,1,
209,99,0,0,
210,10600,1,1,
211,61,0,0,
212,32000,0,0,
213,43,434,0,
214,1529,1064,0,
215,371000,141,1,
216,166000,192,1,
217,32800,8,1,
218,9,0,0,
219,66400,56,1,
220,1,0,0,
221,2471,0,0,
222,10900,449,0,
223,115,1,0,
224,795,0,0,
225,1070,10,0,
226,15900,0,0,
227,290,117,0,
228,4798,1426,0,
229,1,1,0,
230,469000,61,1,
231,4881,64,0,
232,25300,3,0,
233,101000,307,1,
234,151000,56,0,
235,79,0,0,
236,34100,511,0,
237,408,43,0,
238,56000,536,0,
239,164000,2,1,
240,8538,0,0,
241,14600,176,0,
242,32000,0,0,
243,480,0,0,
244,164000,2,1,
245,914,47,0,
246,118,636,0,
247,143000,565,1,
248,148000,1614,1,
249,21600,38,0,
250,29300,850,0,
251,133000,6,0,
252,906000,8,0,
253,121000,62,0,
254,913000,1047,1,
255,371000,141,0,
256,295000,149,0,
257,121000,62,0,
258,23,175,0,
259,856000,0,1,
260,211000,236,0,
261,16600,1,0,
262,1806,120,0,
263,140000,47,0,
264,469000,12,0,
265,906000,8,0,
266,215000,21,0,
267,371000,141,0,
268,328000,8,0,
269,1,3,0,
270,397000,715,0,
271,8527,150,0,
272,118,636,0,
273,116,11,0,
274,712,1,0,
275,20300,63,0,
276,16500,1,0,
277,13700,12,0,
278,32000,0,0,
279,20300,63,0,
280,133000,6,0,
281,134000,3,0,
282,10600,1,0,
283,856000,0,1,
284,707000,3,1,
285,240,473,0,0.0
286,66800,3366,1,0.0
287,232,1349,0,0.0
288,33,175,0,0.0
289,1960,263,1,0.0
290,1504,398,1,0.0
291,415,436,0,0.0
292,10200,690,1,0.0
293,25300,4573,0,0.0
294,25300,4573,0,0.0
295,5759,5661,0,0.0
296,230,36,0,0.0
297,5532,1211,0,0.0
298,26800,11300,0,0.0
299,55300,5,1,0.0
300,7108,1741,0,0.0
301,2600000,1,1,0.0
302,20000,1815,1,0.0
303,101400,32600,1,0.0
304,21200,437,1,0.0
305,7108,1741,0,0.0
306,78600,969,1,0.0
307,40700,799,0,0.0
308,72000,389,1,0.0
309,59000,800,0,0.0
310,4734,999,0,0.0
311,17000,3265,1,0.0
312,5034,1216,0,0.0
313,472,239,0,0.0
314,63000,0,0,
315,11000,0,0,
316,133400,0,0,
317,61000,0,0,
318,23,0,0,
319,84,0,0,
320,293,0,0,
321,38200,0,0,
322,1400,0,0,
323,12,0,0,
324,34,0,0,
325,6900,0,0,
326,65100,0,0,
327,293,0,0,
328,4600,0,0,
329,876,0,0,
330,56,0,0,
331,3500,0,0,
332,6700,0,0,
333,26000,0,0,
334,203,0,0,
335,293,0,0,
336,26000,0,0,
337,5200,0,0,
338,26000,0,0,
339,26000,0,0,
340,1300,0,0,
341,14000,0,0,
342,14000,0,0,
343,7100,0,0,
344,39000,0,0,
345,455,0,0,
346,46000,0,0,
347,23,0,0,
348,4400,0,0,
349,24000,0,1,
350,456,0,0,
351,455,0,0,
352,24000,0,1,
353,293,0,0,
354,67,7,0,
355,67,80,0,
356,1735,46,0,
357,61,32,0,
